epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1504.1,1.20591,0.77902,1.21223,0.53431,0.57635,0.46907,0.27728,1.46335,4.37602,1.30875,0.000960682,0.000960682,0.000960682
43,1546.17,1.15929,0.74436,1.20636,0.52094,0.45438,0.43669,0.26682,1.4852,2.80407,1.30207,0.000957015,0.000957015,0.000957015
44,1588.22,1.15958,0.7229,1.18973,0.56637,0.50046,0.44477,0.26787,1.44226,3.38822,1.29061,0.000953349,0.000953349,0.000953349
45,1628.77,1.221,0.7227,1.21654,0.46051,0.5834,0.4505,0.2703,1.50957,3.43245,1.306,0.000949683,0.000949683,0.000949683
46,1664.88,1.20041,0.70704,1.2165,0.52099,0.5532,0.50669,0.30225,1.56692,2.6741,1.35017,0.000946016,0.000946016,0.000946016
47,1700.68,1.167,0.69689,1.19978,0.51875,0.57768,0.48421,0.29096,1.47626,3.3968,1.29735,0.00094235,0.00094235,0.00094235
48,1736.13,1.20769,0.69685,1.20226,0.63421,0.4692,0.47761,0.28398,1.52498,4.09667,1.3322,0.000938684,0.000938684,0.000938684
49,1772.57,1.2057,0.68253,1.20163,0.5998,0.51819,0.46684,0.28445,1.5352,3.93542,1.33803,0.000935018,0.000935018,0.000935018
50,1808.76,1.18619,0.65623,1.19298,0.54166,0.46446,0.42041,0.26411,1.4949,2.79236,1.31679,0.000931351,0.000931351,0.000931351
51,1848.82,1.1544,0.65729,1.1918,0.57127,0.57863,0.47997,0.28783,1.49334,4.17697,1.29068,0.000927685,0.000927685,0.000927685
