epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,451.85,1.16193,0.69025,1.13797,0.4452,0.3753,0.29465,0.14482,1.91825,3.20072,1.32971,0.000660045,0.000660045,0.000660045
43,462.408,1.16071,0.68405,1.14019,0.26443,0.34673,0.26597,0.12681,1.94383,4.37377,1.3082,0.000649046,0.000649046,0.000649046
44,472.909,1.09716,0.65219,1.11695,0.44299,0.25343,0.26878,0.13043,1.93676,3.13497,1.34139,0.000638047,0.000638047,0.000638047
45,483.525,1.16919,0.68001,1.13644,0.63141,0.25206,0.26059,0.12331,1.9355,4.05992,1.32829,0.000627048,0.000627048,0.000627048
46,494.088,1.16781,0.67737,1.14969,0.23452,0.48975,0.3071,0.15454,1.94647,3.35194,1.3177,0.000616049,0.000616049,0.000616049
47,504.543,1.12366,0.6575,1.11826,0.65072,0.21926,0.26963,0.12679,1.93994,3.48475,1.32129,0.000605051,0.000605051,0.000605051
48,515.315,1.15707,0.66737,1.12498,0.56554,0.23488,0.24895,0.12112,1.95576,3.31983,1.36263,0.000594052,0.000594052,0.000594052
49,525.65,1.08187,0.62474,1.10448,0.28398,0.4246,0.26436,0.12496,2.03009,3.53394,1.38152,0.000583053,0.000583053,0.000583053
50,536.074,1.10543,0.62604,1.11817,0.34848,0.35673,0.24847,0.12765,1.90008,3.20269,1.30749,0.000572054,0.000572054,0.000572054
51,546.928,1.14213,0.64124,1.11865,0.50137,0.22704,0.26622,0.1311,1.9864,3.54611,1.36259,0.000561055,0.000561055,0.000561055
52,557.484,1.09556,0.63034,1.10728,0.71578,0.24137,0.27502,0.1398,1.96605,3.70017,1.36179,0.000550056,0.000550056,0.000550056
53,567.807,1.11729,0.63472,1.10825,0.64644,0.22867,0.24404,0.13217,1.92452,3.59125,1.33868,0.000539057,0.000539057,0.000539057
54,578.354,1.11955,0.62342,1.11695,0.74533,0.22624,0.27608,0.13655,1.94916,3.45276,1.33861,0.000528058,0.000528058,0.000528058
55,588.716,1.05215,0.60187,1.09237,0.46355,0.22584,0.26132,0.13971,1.94479,3.53461,1.33756,0.000517059,0.000517059,0.000517059
56,599.078,1.08381,0.62184,1.11158,0.72511,0.23106,0.26256,0.14661,1.95296,3.57239,1.33207,0.00050606,0.00050606,0.00050606
57,609.393,1.05943,0.60571,1.09119,0.70698,0.23756,0.27297,0.14626,1.93242,3.38568,1.3355,0.000495062,0.000495062,0.000495062
58,619.97,1.05747,0.60578,1.09586,0.65751,0.28659,0.27217,0.13827,1.91705,4.04215,1.33076,0.000484063,0.000484063,0.000484063
59,631.562,1.07688,0.60453,1.09418,0.25804,0.4127,0.28443,0.14492,1.89492,3.22879,1.32213,0.000473064,0.000473064,0.000473064
60,648.119,1.04365,0.60725,1.09839,0.29189,0.40617,0.29047,0.14597,1.87251,3.77106,1.31155,0.000462065,0.000462065,0.000462065
61,665.507,1.06678,0.60034,1.09816,0.66982,0.25796,0.25978,0.13122,1.93345,3.2967,1.33496,0.000451066,0.000451066,0.000451066
62,682.467,1.06064,0.6024,1.09231,0.22941,0.38664,0.27068,0.12962,1.9992,3.69886,1.38682,0.000440067,0.000440067,0.000440067
63,693.601,1.06624,0.59257,1.09134,0.68324,0.25075,0.22866,0.12194,1.92545,4.23223,1.32777,0.000429068,0.000429068,0.000429068
64,704.623,1.05424,0.59031,1.08604,0.60422,0.2687,0.2445,0.1263,1.93022,4.70057,1.33508,0.000418069,0.000418069,0.000418069
65,715.187,1.06003,0.59989,1.09869,0.73444,0.24125,0.25796,0.13339,1.97382,3.34631,1.3412,0.00040707,0.00040707,0.00040707
66,725.885,1.02727,0.5686,1.07862,0.27751,0.47108,0.29037,0.14843,1.96042,3.5615,1.34036,0.000396071,0.000396071,0.000396071
67,736.311,1.04575,0.59354,1.08026,0.69387,0.22879,0.24872,0.13279,1.90316,4.19033,1.32831,0.000385073,0.000385073,0.000385073
68,746.984,1.0216,0.59451,1.07171,0.68624,0.27315,0.27401,0.13637,1.92521,4.10697,1.33539,0.000374074,0.000374074,0.000374074
69,757.505,1.02507,0.58059,1.06902,0.28192,0.36333,0.27258,0.13347,1.90606,4.13374,1.33771,0.000363075,0.000363075,0.000363075
70,768.228,1.00622,0.5716,1.0654,0.67632,0.2871,0.25158,0.13155,1.87325,4.40594,1.32129,0.000352076,0.000352076,0.000352076
71,778.67,1.03498,0.56474,1.07437,0.62441,0.26942,0.25633,0.13485,1.862,3.87228,1.30351,0.000341077,0.000341077,0.000341077
72,789.192,1.02937,0.56738,1.07269,0.7006,0.26548,0.23376,0.12698,1.91615,4.40229,1.33428,0.000330078,0.000330078,0.000330078
73,800.728,1.024,0.5726,1.05659,0.35057,0.39137,0.28359,0.14101,1.8415,3.79892,1.30377,0.000319079,0.000319079,0.000319079
74,812.996,1.01528,0.56861,1.07103,0.2802,0.43002,0.24902,0.126,2.10491,3.75179,1.45922,0.00030808,0.00030808,0.00030808
75,825.035,0.99251,0.55852,1.06009,0.24254,0.42477,0.26673,0.13652,1.94218,4.20572,1.348,0.000297081,0.000297081,0.000297081
76,836.007,1.01361,0.56668,1.06828,0.63698,0.25728,0.24546,0.11959,1.94415,3.95675,1.34697,0.000286083,0.000286083,0.000286083
77,847.45,1.02136,0.57672,1.07154,0.26927,0.37284,0.26815,0.13454,1.90798,4.11,1.32683,0.000275084,0.000275084,0.000275084
78,858.945,0.98727,0.55009,1.05813,0.72912,0.25208,0.27033,0.1385,1.96905,4.04234,1.35232,0.000264085,0.000264085,0.000264085
79,870.937,0.99446,0.54708,1.06766,0.68599,0.26977,0.23187,0.12283,1.90087,4.29929,1.32666,0.000253086,0.000253086,0.000253086
80,882.39,1.0071,0.55639,1.05726,0.59608,0.25335,0.25217,0.12638,1.9541,3.94699,1.35262,0.000242087,0.000242087,0.000242087
81,893.618,0.96622,0.55454,1.05913,0.61634,0.23265,0.22496,0.11323,1.90986,4.01736,1.3371,0.000231088,0.000231088,0.000231088
82,904.025,0.99073,0.54486,1.058,0.67058,0.25566,0.24962,0.12755,1.89518,4.00759,1.32843,0.000220089,0.000220089,0.000220089
83,914.623,0.96255,0.53231,1.04289,0.59597,0.26145,0.25145,0.12507,1.90612,3.89795,1.33225,0.00020909,0.00020909,0.00020909
84,924.926,0.94986,0.5293,1.04883,0.67941,0.24573,0.25225,0.12176,1.97418,4.03108,1.38282,0.000198091,0.000198091,0.000198091
85,935.525,0.97643,0.5337,1.04343,0.2648,0.36577,0.26937,0.13416,1.93184,4.22549,1.35477,0.000187092,0.000187092,0.000187092
86,946.041,0.94989,0.5213,1.04767,0.67647,0.26871,0.26215,0.13209,1.87316,3.94651,1.31926,0.000176094,0.000176094,0.000176094
87,956.848,0.93773,0.52177,1.0294,0.29165,0.36991,0.26278,0.13541,1.85723,3.99512,1.31912,0.000165095,0.000165095,0.000165095
88,967.334,0.94778,0.52195,1.03728,0.33888,0.31601,0.24925,0.13288,1.89439,3.80486,1.32612,0.000154096,0.000154096,0.000154096
89,977.765,0.94388,0.53353,1.03794,0.68608,0.2669,0.24582,0.1281,1.9053,4.15988,1.33968,0.000143097,0.000143097,0.000143097
90,988.229,0.95552,0.52141,1.04528,0.67514,0.28252,0.24037,0.12743,1.90719,4.35467,1.34969,0.000132098,0.000132098,0.000132098
