epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6295,1.44888,1.98327,1.3444,0.49108,0.27573,0.26988,0.15537,1.33524,2.61903,1.21603,0.000367141,0.000367141,0.000367141
2,43.6373,1.40934,1.46479,1.29829,0.23371,0.25004,0.22142,0.12708,1.46344,3.4385,1.3236,0.000730173,0.000730173,0.000730173
3,63.1722,1.40482,1.31663,1.24635,0.27763,0.29513,0.25597,0.14954,1.57754,2.89944,1.34145,0.00108587,0.00108587,0.00108587
4,82.8481,1.3991,1.41788,1.30372,0.5038,0.31432,0.30712,0.18609,1.68173,2.81173,1.33323,0.001078,0.001078,0.001078
5,101.952,1.36429,1.2252,1.26006,0.60395,0.29832,0.30301,0.19208,1.4152,2.58596,1.20553,0.001067,0.001067,0.001067
6,121.058,1.38929,1.18331,1.26521,0.62594,0.29037,0.35065,0.20754,1.52177,2.37775,1.23259,0.00105601,0.00105601,0.00105601
7,139.756,1.36753,1.14256,1.27465,0.49093,0.27025,0.26368,0.14526,1.43322,2.46565,1.233,0.00104501,0.00104501,0.00104501
8,158.058,1.33097,1.04925,1.25106,0.37073,0.352,0.33046,0.18121,1.56969,2.66986,1.27617,0.00103401,0.00103401,0.00103401
9,176.426,1.32265,0.96488,1.23362,0.43496,0.44346,0.41004,0.2408,1.49137,2.37461,1.25489,0.00102301,0.00102301,0.00102301
10,195.198,1.29167,0.94624,1.2153,0.54996,0.40084,0.41361,0.25366,1.4843,2.35882,1.24026,0.00101201,0.00101201,0.00101201
11,214.056,1.30677,0.99782,1.22426,0.41102,0.42879,0.39356,0.24485,1.46751,2.89861,1.21837,0.00100101,0.00100101,0.00100101
12,232.212,1.31453,0.99249,1.23293,0.51755,0.51881,0.43408,0.25075,1.45132,3.57979,1.23187,0.000990012,0.000990012,0.000990012
13,250.271,1.27984,0.90666,1.20349,0.39405,0.52822,0.41678,0.24324,1.46943,4.0233,1.22653,0.000979013,0.000979013,0.000979013
14,268.355,1.25719,0.86714,1.2061,0.49754,0.45724,0.44055,0.23148,1.64043,2.18832,1.32205,0.000968014,0.000968014,0.000968014
15,286.694,1.28306,0.89439,1.20294,0.33696,0.4734,0.40304,0.23853,1.50676,2.30528,1.23281,0.000957015,0.000957015,0.000957015
16,304.646,1.24914,0.89411,1.21368,0.42181,0.52045,0.45148,0.26306,1.56099,2.3769,1.2699,0.000946016,0.000946016,0.000946016
17,323.371,1.257,0.84615,1.18603,0.46002,0.43787,0.40658,0.24036,1.45744,2.08823,1.23923,0.000935018,0.000935018,0.000935018
18,341.516,1.27295,0.84344,1.20016,0.50605,0.41284,0.40743,0.23148,1.53079,2.3961,1.24384,0.000924019,0.000924019,0.000924019
19,359.533,1.27309,0.85487,1.20807,0.58528,0.50129,0.47222,0.28774,1.48303,3.58165,1.24379,0.00091302,0.00091302,0.00091302
20,378.153,1.26446,0.89407,1.20935,0.42757,0.53382,0.40153,0.22501,1.51864,4.55674,1.28081,0.000902021,0.000902021,0.000902021
21,396.283,1.29803,0.84633,1.21236,0.49406,0.48634,0.46206,0.27926,1.48271,2.40252,1.24338,0.000891022,0.000891022,0.000891022
22,414.476,1.23194,0.77865,1.19539,0.45227,0.64919,0.50872,0.29011,1.51574,3.58667,1.2552,0.000880023,0.000880023,0.000880023
23,432.915,1.26561,0.78793,1.20447,0.4299,0.55795,0.4587,0.27718,1.44585,3.11478,1.21062,0.000869024,0.000869024,0.000869024
24,451.019,1.22457,0.76237,1.19186,0.56899,0.5906,0.5004,0.3017,1.36481,5.25208,1.18684,0.000858025,0.000858025,0.000858025
