epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1577,1.44888,1.98327,1.3444,0.38986,0.11833,0.12434,0.06058,1.47757,3.1188,1.21874,0.000367141,0.000367141,0.000367141
2,39.7417,1.40934,1.46479,1.29829,0.07101,0.23197,0.04946,0.01911,1.59894,4.05248,1.3166,0.000730173,0.000730173,0.000730173
3,57.6364,1.40482,1.31663,1.24635,0.08459,0.18225,0.02823,0.01309,1.84921,3.49064,1.40788,0.00108587,0.00108587,0.00108587
4,75.6326,1.3991,1.41788,1.30372,0.25296,0.15838,0.04522,0.02342,1.95098,3.06869,1.37023,0.001078,0.001078,0.001078
5,93.8538,1.36429,1.2252,1.26006,0.47105,0.07755,0.10197,0.04461,1.61521,3.11285,1.20837,0.001067,0.001067,0.001067
6,111.842,1.38929,1.18331,1.26521,0.14397,0.33358,0.1316,0.06637,1.76387,2.85187,1.24338,0.00105601,0.00105601,0.00105601
7,130.304,1.36753,1.14256,1.27465,0.37976,0.205,0.13192,0.06316,1.59836,2.47619,1.24601,0.00104501,0.00104501,0.00104501
8,148.525,1.33097,1.04925,1.25106,0.12227,0.32871,0.12948,0.05078,1.85253,2.84669,1.31527,0.00103401,0.00103401,0.00103401
9,166.462,1.32265,0.96488,1.23362,0.28382,0.22375,0.21495,0.1046,1.80918,2.54249,1.3196,0.00102301,0.00102301,0.00102301
10,184.604,1.29167,0.94624,1.2153,0.56092,0.18488,0.24178,0.11566,1.74952,2.73079,1.28385,0.00101201,0.00101201,0.00101201
11,203.114,1.30677,0.99782,1.22426,0.16262,0.15151,0.12461,0.0615,1.72752,2.92643,1.25068,0.00100101,0.00100101,0.00100101
12,220.669,1.31453,0.99249,1.23293,0.32937,0.28818,0.17061,0.07414,1.69786,3.46835,1.26971,0.000990012,0.000990012,0.000990012
13,238.328,1.27984,0.90666,1.20349,0.20853,0.45425,0.20987,0.10785,1.73179,3.37655,1.26425,0.000979013,0.000979013,0.000979013
14,256.186,1.25719,0.86714,1.2061,0.23675,0.46815,0.22626,0.10062,1.90771,2.28601,1.37865,0.000968014,0.000968014,0.000968014
15,273.757,1.28306,0.89439,1.20294,0.14709,0.27027,0.15218,0.07249,1.81594,2.73451,1.27539,0.000957015,0.000957015,0.000957015
16,291.304,1.24914,0.89411,1.21368,0.17212,0.34749,0.2221,0.0956,1.90834,2.54982,1.33441,0.000946016,0.000946016,0.000946016
17,309.281,1.257,0.84615,1.18603,0.29348,0.27534,0.2452,0.1149,1.72687,2.2885,1.2978,0.000935018,0.000935018,0.000935018
18,326.961,1.27295,0.84344,1.20016,0.40691,0.22044,0.21489,0.09643,1.82879,2.74914,1.29675,0.000924019,0.000924019,0.000924019
19,344.673,1.27309,0.85487,1.20807,0.41301,0.23849,0.22105,0.11032,1.8462,3.61079,1.31951,0.00091302,0.00091302,0.00091302
20,362.196,1.26446,0.89407,1.20935,0.19337,0.49746,0.20253,0.09065,1.81864,4.23817,1.34596,0.000902021,0.000902021,0.000902021
21,380.047,1.29803,0.84633,1.21236,0.34647,0.3171,0.23456,0.12048,1.84723,2.7483,1.31493,0.000891022,0.000891022,0.000891022
22,398.1,1.23194,0.77865,1.19539,0.26392,0.46848,0.26519,0.11974,1.89708,3.3199,1.33927,0.000880023,0.000880023,0.000880023
23,415.903,1.26561,0.78793,1.20447,0.26731,0.40864,0.26316,0.13222,1.80533,3.34884,1.27698,0.000869024,0.000869024,0.000869024
24,434.37,1.22457,0.76237,1.19186,0.32884,0.34336,0.25276,0.13075,1.60155,4.60964,1.20666,0.000858025,0.000858025,0.000858025
25,452.073,1.22667,0.76476,1.20054,0.37704,0.26409,0.28959,0.13316,2.00877,2.71942,1.38213,0.000847026,0.000847026,0.000847026
26,470.209,1.21477,0.76435,1.18033,0.33814,0.2115,0.20647,0.09702,1.9425,3.89646,1.38434,0.000836027,0.000836027,0.000836027
27,488.241,1.19423,0.74955,1.16992,0.1784,0.47868,0.23642,0.11434,1.69335,3.42706,1.27611,0.000825029,0.000825029,0.000825029
28,505.91,1.19979,0.74746,1.17794,0.34303,0.2703,0.24416,0.1216,1.9798,3.59636,1.37698,0.00081403,0.00081403,0.00081403
29,523.824,1.18974,0.7438,1.17241,0.29112,0.40753,0.24551,0.12634,1.77465,3.3094,1.26558,0.000803031,0.000803031,0.000803031
30,541.445,1.22687,0.73194,1.18365,0.18731,0.42191,0.23818,0.12228,1.98303,4.90798,1.37671,0.000792032,0.000792032,0.000792032
31,559.095,1.15581,0.71847,1.16216,0.25784,0.47392,0.26982,0.13174,1.89316,2.97274,1.30824,0.000781033,0.000781033,0.000781033
32,576.94,1.19281,0.708,1.17058,0.43364,0.38456,0.29479,0.13609,1.82069,4.16854,1.35007,0.000770034,0.000770034,0.000770034
33,598.75,1.22623,0.72483,1.18031,0.30284,0.37721,0.25575,0.13511,1.74439,2.69016,1.26557,0.000759035,0.000759035,0.000759035
34,623.962,1.16236,0.67918,1.14166,0.2591,0.3664,0.24533,0.13086,1.81971,2.81838,1.32674,0.000748036,0.000748036,0.000748036
